,count,mean,std,min,25%,50%,75%,max
Rating,742.0,3.6188679245283017,0.8012101584634997,-1.0,3.3,3.7,4.0,5.0
Founded,742.0,1837.154986522911,497.1837627029657,-1.0,1939.0,1988.0,2007.0,2019.0
hourly,742.0,0.03234501347708895,0.17703404247509585,0.0,0.0,0.0,0.0,1.0
employer_provided,742.0,0.022911051212938006,0.1497208925089758,0.0,0.0,0.0,0.0,1.0
min_salary,742.0,74.06873315363882,31.86928207260769,10.0,52.0,69.5,91.0,202.0
max_salary,742.0,127.18328840970351,46.90900648102468,16.0,96.0,124.0,155.0,306.0
avg_salary,742.0,100.62601078167116,38.855948156512454,13.5,73.5,97.5,122.5,254.0
same_state,742.0,0.5579514824797843,0.4969652657637825,0.0,0.0,1.0,1.0,1.0
age,742.0,46.591644204851754,53.778815120152004,-1.0,11.0,24.0,59.0,276.0
python_yn,742.0,0.5283018867924528,0.49953508800982177,0.0,0.0,1.0,1.0,1.0
R_yn,742.0,0.0026954177897574125,0.05188236934528478,0.0,0.0,0.0,0.0,1.0
spark,742.0,0.22506738544474394,0.4179084006699433,0.0,0.0,0.0,0.0,1.0
aws,742.0,0.2371967654986523,0.42565083812312887,0.0,0.0,0.0,0.0,1.0
excel,742.0,0.522911051212938,0.4998117218109457,0.0,0.0,1.0,1.0,1.0
